Country;Score;Institutions;Human capital and research;Infrastructure;Market sophistication;Business sophistication;Knowledge and technology outputs;Creative outputs
Albania;29.6;58.7;22.4;52.3;41.1;30.5;16.5;20
Algeria;18.9;42.1;26.9;34;10.5;21.6;11.1;10.5
Angola;13;27.6;12.9;26.9;20.7;16.1;5.5;5
Argentina;26.8;28.6;33.8;38.5;28.2;26.6;18.1;26.7
Armenia;30.5;49;24.7;39.3;33;27;21.5;31.2
Australia;48;76.1;58.6;55.7;55.4;45.5;33;42.5
Austria;50.1;72.1;58.6;59.3;46.9;53;39.9;44.5
Azerbaijan;22.9;60.9;25.2;31.2;35.2;22.4;11.1;10.4
Bahrain;30;68.6;28.2;58.1;37.2;27.4;17.8;14.4
Bangladesh;21;33.9;12.8;36.4;29;19.5;13.2;18.1
Barbados;25.1;54.1;24.9;26.9;17.6;32.3;22.1;16.1
Belarus;25.1;14.8;40.4;38;27.9;26.1;26.1;15.4
Belgium;48.5;68.1;54.9;51.7;53.4;55.5;41.4;39.1
Benin;17.8;50;17.4;28.4;15.6;24;12.6;4.5
Bolivia;19.6;17.7;39.3;25.9;42;22.8;8.6;10.9
Bosnia and Herzegovina;23.4;28.5;28.7;41.5;33.5;18.4;20.3;13.1
Botswana;24.6;60.3;28.9;35.2;42.1;29.9;11.7;8.3
Brazil;32.9;34.2;37.5;45.5;35.4;36.6;25.8;29.9
Brunei Darussalam;24.5;69.7;33.2;44.7;39.5;25;8.2;4.8
Bulgaria;39.1;46;32.7;57.1;45.6;32.7;33.2;37.5
Burkina Faso;15.9;33.5;19.9;11.1;27.6;19.8;13;5.8
Burundi;15.8;30.7;19.9;23.3;21;22.5;6.2;9.9
Cabo Verde;22.6;60.2;19.7;38.3;27.3;27.1;11.1;10.1
Cambodia;22;41;18.5;35.3;46.9;18.2;14;9.9
Cameroon;18.2;35;23.5;20.8;18.1;35.8;11.3;8.1
Canada;51.1;75.2;58.3;55.8;59.5;49.5;40.4;44.5
Chile;33.1;57.5;34.2;49;43.9;31.7;21.8;24
China;56.6;60;52;64.3;57.3;56;60.7;49.7
Colombia;28.5;43.1;32.9;40.8;34.9;31;19.6;21.3
Congo;13.6;25;17.8;18.9;6;36.3;8.1;4.7
Costa Rica;28.4;53.5;25.7;44.3;31.6;28;23.4;16.9
Côte d'Ivoire;19.7;51;40.3;58;39.9;31.7;30.3;32.1
Croatia;37.7;57.9;35.8;50.4;45.6;45.6;36.3;51.6
Cyprus;45.5;66.3;42.3;53.9;35.2;41.4;40.1;32.4
Czech Republic;42;50.4;10.5;31;23.2;26.2;8.3;14.1
Denmark;56.9;86.9;57.4;62.9;56;55.3;46;54.2
Dominican Republic;22.6;54.3;18.9;38.4;24.8;26;11;14.3
Ecuador;19.5;29.5;22.7;37.3;24;22.5;13.8;10
Egypt;24.7;39.1;21.1;35.3;32.2;25.3;16.9;20.7
El Salvador;22.2;40;16.6;28.8;32.2;20.9;12.4;21.2
Estonia;51.1;73.6;42.7;60.8;60;44.8;40.2;51.4
Ethiopia;14.4;27.6;5.5;22.3;14.6;17.8;17;5.5
Finland;57.7;83.6;60.9;67.6;58.6;55.3;52.7;47.8
France;53.4;66.8;55.1;57.4;57.1;53.4;41.8;56
Georgia;31.2;68.4;33;41.2;38.7;28.2;21;20
Germany;55.5;70.2;61;54.9;50.8;54.5;49.6;55.6
Ghana;21.9;45.6;19.4;30.3;16.9;25.6;16.3;15.9
Greece;37.4;52;46.8;52.1;39;28.7;28.1;33.8
Guatemala;17.1;33.2;12.4;28.2;28.2;21.7;10.9;7.8
Guinea;14.9;29.4;17.3;24;12.4;23.7;7.8;9.1
Honduras;17.7;24.1;18.7;30.9;29.9;20.4;13.6;7.4
Hong Kong, China;51.5;81.2;57.2;57.1;70.7;47.1;32.8;47.7
Hungary;40;51.1;43.7;52.8;40.9;38.1;35.2;34.2
Iceland;47;75.9;45.4;67.7;49.5;49.6;27.5;45.4
India;38.2;53.5;34.7;45.2;43.1;29.2;37.8;32.7
Indonesia;31.3;61.6;24.4;41.6;40.6;26.5;20.6;26.7
Iran;28.5;14.1;32.4;33.9;33.7;22.7;27.5;31.9
Ireland;50.4;79.4;48.9;58.6;44.8;53.3;42.7;44.7
Israel;52.3;65.3;52.3;51.5;56.8;55.7;55.4;40.9
Italy;44.9;54.2;45.1;54.9;40.4;40;40.7;45.2
Jamaica;25.2;51;22.2;31.9;22.9;23.6;10.4;29.8
Japan;53.6;70.9;53.5;57.6;59.4;57.8;48.2;46.4
Jordan;29.7;56;25.6;37.1;37.1;31.3;22.2;21.7
Kazakhstan;26.3;47.1;31.1;43;29.9;26.6;16;18.3
Kenya;21.4;39.2;15.4;27.9;20.3;25.5;21.6;12.6
Kuwait;28.2;47.8;34.5;48;34.4;22.2;15.8;22.3
Kyrgyzstan;22.6;28.9;33.6;36.9;33.1;21.8;12.5;16.1
Lao People's Democratic Republic;20.1;45.1;16.9;32.9;41.1;27.1;8.5;6.8
Latvia;37.5;59.4;37.6;53.7;39.5;33.9;25.4;35.2
Lebanon;23.6;18.3;32.8;27;41.8;28;22.7;12.6
Lesotho;14.9;31.6;20.8;29.1;27.2;16.2;6.6;3.2
Lithuania;40.8;72.6;37.8;54.8;46.6;38.5;32.1;30.9
Luxembourg;47.3;83.8;47.9;46.6;50.2;49;24.7;53.4
Madagascar;17.6;25.6;18.3;13.9;21.2;22;9;20.9
Malawi;16;35.5;6.8;21.2;19.5;39;12.8;2.3
Malaysia;40.6;68;37.7;47.4;54.9;38;31;33
Mali;14;32.5;14.6;21.7;18.4;27;8.1;2.1
Malta;45.4;59.4;43.5;53.1;37.2;43.8;36.2;50.4
Mauritania;15.4;37.2;18.4;28.8;16.8;22.5;7.8;4.3
Mauritius;32.5;67;28.5;38.1;47.8;23.2;13.4;34.8
Mexico;30.5;34.9;32.1;39.9;36.1;27.8;23.5;30.3
Mongolia;26.7;38.1;25.5;41.8;29;26.3;13.9;28.5
Montenegro;29.8;42.8;33.3;48.8;41.2;24.6;19.8;23
Morocco;31.1;48.1;26.1;38.4;33.4;28.2;22.8;31.7
Mozambique;15.4;26.9;13.2;31.9;20.9;20.1;8.1;8.2
Myanmar;17.3;15.7;18.9;31.2;27.1;15.4;10.2;15.7
Namibia;23.5;56.2;28.5;34.5;27.4;33.1;9.2;12.8
Nepal;20.2;32.5;13.9;32.6;38.4;20.9;13.2;12.3
Netherlands;57;79;55.3;54.6;57.5;56.6;50.8;56.1
New Zealand;45.5;83.1;48.9;55.1;49.5;47.7;28.6;39.6
Nicaragua;15.4;17.6;13.3;28.1;29.9;28.3;10.9;3.7
Niger;11.9;26.9;8.9;15.4;14.4;20.6;11.3;2
Nigeria;21.1;26.7;14.8;25.3;17.4;31.5;19.8;18.3
North Macedonia;29.8;47;30.4;47.5;35.6;26.9;24.7;19.5
Norway;49.2;80.3;49.7;68.8;52.1;49.3;32.2;44.7
Oman;28.7;61.5;30.2;47;35.5;29.2;15;18.2
Pakistan;22.1;26.1;15.8;26.5;28.1;25.2;20.6;19
Panama;25.9;44.5;19.1;49.1;31.4;18.3;15.5;23
Paraguay;21.4;39.6;17.3;45.9;25.6;23.1;9.3;15.5
Peru;26.5;39.8;39;41.9;40.5;21.3;13.7;19.2
Philippines;33.6;51.9;24.7;42.4;40;36.4;29.6;26.5
Poland;37.7;49.7;38.6;48.1;37.7;39.5;28.5;37
Portugal;43.9;62.1;50.8;51.8;48.7;38.7;30.5;44.1
Qatar;34.6;74.3;38.1;58.2;41;25.6;16.9;26.5
Republic of Korea;60;72.5;67;63.6;61.9;61.2;51.8;57.7
Republic of Moldova;27.4;40.9;30.9;35;31.8;18.3;20.9;25.7
Romania;34.3;43.4;30.2;54.4;37.9;31.2;28.7;29.5
Russian Federation;30.3;23.3;47.2;40.4;34.6;35;21.8;27
Rwanda;21.1;66.3;26.6;30.8;16.3;22.1;11.9;7.7
Saudi Arabia;36;69;42.8;53;46.7;32.3;19.9;26.9
Senegal;23.8;49;22.6;38.8;31.5;22.2;19.7;10
Serbia;31.7;48.1;37.5;52.8;34.6;24.2;30.8;17.3
Seychelles;27.2;63.4;23.9;37.1;38.8;25.7;7.8;25.3
Singapore;59.9;98.7;63.3;57.2;61.5;63;53.1;49.2
Slovakia;35.5;47.9;35.5;52.8;38.7;31.3;32.7;26.9
Slovenia;40.1;58.5;48.1;57.1;37.8;38.2;35.1;29.4
South Africa;30.1;38.2;29.4;42;41.3;33.2;20.5;26.4
Spain;44.6;54.6;46.6;59.5;46.1;40.4;36.6;43
Sri Lanka;22.9;34.6;19.2;42.4;26.9;21.1;15.7;18.2
Sweden;62.6;76.5;61.8;67.4;59.5;65.2;58.1;60.1
Switzerland;66;85.5;60.1;65.2;67.1;59.5;60.1;68.8
Tajikistan;20.2;35.3;22.4;33;25.9;23.3;17.5;7.2
Thailand;36.7;47.5;34.9;45.8;48;36.4;27.7;34
Togo;18.1;34.5;19.5;22.5;28.7;16.7;11.9;11.6
Trinidad and Tobago;19.3;46;29.8;30;28.5;17;10.2;6.3
Tunisia;27;33.3;36.8;28.3;32.3;20.9;23.3;24
Türkiye;37.2;37;41.2;51.7;41.9;36.4;26.4;39.2
Uganda;17.1;42.9;12.9;25.4;19.1;25.8;10.4;7.4
Ukraine;29.7;34.1;32.5;40.7;32.3;31.4;26.5;23.9
United Arab Emirates;44.2;81.8;54.7;61.1;54;42;23;36.1
United Kingdom;59.1;69.3;59.4;56.6;63.8;53;56;59.7
United Republic of Tanzania;17.5;46.5;13.6;29.8;18.4;24.5;10.4;6.4
United States of America;61.7;74.3;55.8;54.3;75;65.9;60;56.6
Uruguay;28.8;67.5;24.2;50.6;27.6;22.1;20;18.6
Uzbekistan;26.5;51.9;27.4;41.8;35;27.1;20.9;11.8
Venezuela;13.7;1.9;48.7;11.7;14.1;22.9;6.6;8.7
Viet Nam;37.1;53.5;30.5;46.8;41.6;35.7;28.9;36.2
Zambia;19.6;49.1;20.6;36.2;21.8;28.5;8.6;7.2
Zimbabwe;15.4;18.8;8.1;21.6;13.1;27.4;10.7;15.2
